26,Packaging,Harvest & Post-Harvest,"Packing harvested agricultural produce using suitable materials to protect quality, improve handling, and facilitate transportation and marketing.","The harvested produce was packed before transportation.;Packaging protected the crops from damage.;The farmer packed the vegetables for market.;Proper packaging maintained product quality.","crops"



27,Dairy Farming,Livestock & Allied Farming,"Managing dairy animals such as cows and buffaloes for the production of milk and other dairy products through proper feeding, breeding, healthcare, and hygiene.","The farmer raised cows for milk production.;Dairy animals were fed nutritious fodder.;Proper healthcare improved milk yield.;The dairy farm maintained healthy livestock.","cow|dairy"

28,Poultry Farming,Livestock & Allied Farming,"Raising chickens under proper housing, feeding, and healthcare conditions for the production of eggs and meat.","The farmer reared chickens for egg production.;Poultry birds were provided balanced feed.;Proper poultry management reduced disease outbreaks.;Healthy chickens produced better yields.","chicken"

29,Goat Rearing,Livestock & Allied Farming,"Managing and breeding goats for the production of milk, meat, and other livestock products through proper nutrition and healthcare.","The farmer raised goats for milk and meat.;Goats were provided proper shelter and feed.;Regular healthcare kept the goats healthy.;Goat rearing provided additional farm income.","goat"

30,Cattle Management,Livestock & Allied Farming,"Managing cattle by providing proper nutrition, shelter, breeding, and veterinary care to improve livestock productivity and overall farm sustainability.","The cattle were provided clean drinking water.;The farmer ensured regular veterinary check-ups.;Healthy cattle improved farm productivity.;Proper cattle management increased livestock health.","cattle"


31,Soil Testing,Soil Management,"Analyzing soil samples to determine properties such as nutrient levels and soil condition so that suitable crop and fertilizer decisions can be made.","The farmer tested the soil before planting.;A soil test was done before applying fertilizer.;The soil was checked to understand its condition.;The farmer tested the field before cultivation.","soil|fertilizer"
32,Soil Amendment,Soil Management,"Adding suitable materials to agricultural soil to improve its physical or chemical condition and make it more suitable for crop growth.","The farmer improved the soil before planting.;Organic material was added to improve the soil.;The soil was treated before cultivation.;The farmer added material to improve soil quality.","soil|compost"
33,Composting,Soil Management,"Decomposing organic agricultural and plant waste under suitable conditions to produce compost that can improve soil fertility.","The farmer prepared compost from farm waste.;Organic waste was converted into compost.;Compost was prepared for the field.;The farmer used compost to improve the soil.","compost|soil"
34,Green Manuring,Soil Management,"Growing plants and incorporating their green plant material into the soil to add organic matter and improve soil fertility.","The farmer grew a crop for green manure.;Green plant material was added to the soil.;The field was enriched with green plant matter.;The farmer incorporated green plants into the soil.","crops|soil"
35,Rainwater Harvesting,Water Management,"Collecting and storing rainwater for later agricultural use, especially during periods when water availability is low.","The farmer collected rainwater for the field.;Rainwater was stored for irrigation.;The farm stored water during the rainy season.;Collected rainwater was used during dry periods.","rainfall|water|pond"
36,Drip Irrigation,Crop Management,"Supplying water slowly and directly near the roots of plants through a network of pipes or emitters to reduce water loss.","The farmer used drip irrigation for the crops.;Water was delivered directly to the plant roots.;The crops received water through drip pipes.;Drip irrigation reduced water wastage.","drip_irrigation|water|crops"
37,Sprinkler Irrigation,Crop Management,"Applying irrigation water over crops in the form of small droplets through sprinklers to distribute water across the field.","The farmer used sprinklers to water the field.;Water was sprayed over the crops.;The field was irrigated using a sprinkler system.;Sprinklers distributed water across the crop.","sprinkler|irrigation|water"
38,Drainage Management,Water Management,"Removing excess water from agricultural land to prevent waterlogging and maintain suitable soil conditions for crop growth.","Excess water was removed from the field.;The farmer improved drainage after heavy rain.;Waterlogging was reduced using drainage.;The field was drained after flooding.","water|soil|flood"
39,Fertigation,Crop Management,"Applying dissolved fertilizer together with irrigation water so that nutrients are delivered to crops through the irrigation system.","The farmer applied fertilizer through irrigation.;Fertilizer was mixed with irrigation water.;The crops received nutrients through the water supply.;The farmer used irrigation to apply fertilizer.","fertilizer|irrigation|water"
40,Nutrient Management,Crop Management,"Managing the supply of essential plant nutrients through suitable fertilizers, compost, and soil practices to support healthy crop growth.","The farmer managed nutrients for better crop growth.;Fertilizer was applied according to crop needs.;The soil received the required nutrients.;Proper nutrient management improved crop growth.","fertilizer|compost|soil"
41,Intercropping,Cropping System,"Growing two or more different crops together in the same field during the same growing period to improve resource use and farm productivity.","The farmer grew two crops together.;Maize was grown together with another crop.;Different crops were planted in the same field.;The farmer used an intercropping system.","crops|planting"
42,Crop Diversification,Cropping System,"Growing different types of crops instead of depending on a single crop to improve farm resilience and reduce production risk.","The farmer grew different crops on the farm.;Several crops were cultivated during the season.;The farmer diversified crop production.;Different crops reduced dependence on one crop.","crops|crop_rotation"
43,Integrated Pest Management,Crop Protection,"Managing agricultural pests by combining suitable monitoring, cultural, biological, physical, and chemical control methods when necessary.","The farmer used different methods to control pests.;Pests were monitored before treatment.;The farmer combined pest control methods.;Pesticides were used only when necessary to protect the crop.","insect|pesticide|crops"
44,Biological Pest Control,Crop Protection,"Controlling harmful agricultural pests by using natural enemies or other biological methods instead of relying only on chemical pesticides.","Natural enemies were used to control insects.;The farmer used biological methods against pests.;Beneficial insects helped control harmful insects.;The pest population was reduced naturally.","insect|crops"
45,Trap Cropping,Crop Protection,"Growing a preferred crop near the main crop to attract pests away from the main crop and help reduce crop damage.","A trap crop was planted near the main crop.;The farmer attracted insects away from the main crop.;Pests were directed toward another crop.;The trap crop helped protect the main crop.","crops|insect"
46,Field Sanitation,Crop Protection,"Removing infected plants, crop residues, weeds, and other unwanted material that can support pests and plant diseases in the field.","The farmer removed infected plant material.;Diseased crop residues were cleared from the field.;The field was cleaned after cultivation.;Unwanted plant material was removed to protect the crop.","weed|crops"
47,Pest Scouting,Crop Protection,"Regularly inspecting crops to detect harmful insects and pest damage before deciding whether control measures are required.","The farmer checked the crop for insects.;The field was inspected for pest damage.;The farmer regularly searched for pests.;Insects were detected during crop inspection.","crops|insect"
48,Disease Scouting,Crop Protection,"Regularly examining plants for visible signs and symptoms of disease so that problems can be detected and managed early.","The farmer checked the plants for disease.;The leaves were inspected for disease symptoms.;The crop was examined for signs of infection.;The farmer detected a plant disease early.","crops|pesticide"
49,Gap Filling,Plant Establishment,"Replacing missing or dead plants after germination or establishment to maintain a suitable plant population in the field.","The farmer replaced missing plants.;Dead seedlings were replaced in the field.;Gaps in the crop rows were filled.;New plants were added where seedlings had died.","planting|crops"
50,Thinning,Plant Establishment,"Removing excess seedlings or plants so that the remaining plants have enough space, water, nutrients, and sunlight for healthy growth.","The farmer removed extra seedlings.;Excess plants were removed from the row.;The seedlings were thinned to maintain proper spacing.;Only healthy plants were kept at the required distance.","planting|crops"
51,Staking,Crop Management,"Providing physical support to plants using stakes or similar structures to keep them upright and prevent bending or falling.","The farmer supported the plants with stakes.;The plants were tied to supports.;Stakes were used to keep the plants upright.;The crop was given physical support.","planting|crops"
52,Pollination Management,Crop Management,"Supporting effective pollination in flowering crops to improve fruit and seed formation by maintaining suitable conditions for pollination.","The farmer improved pollination in the crop.;The flowering plants were managed for better fruit formation.;The farmer protected conditions needed for pollination.;Better pollination improved crop production.","crops|planting"
53,Protected Cultivation,Crop Production,"Growing crops inside structures such as greenhouses or polyhouses to provide a more controlled growing environment and protect plants from unfavorable conditions.","The farmer grew vegetables inside a greenhouse.;The crop was grown under protected conditions.;The plants were protected from harsh weather.;The farmer used a polyhouse for cultivation.","greenhouse|crops|weather"
54,Microclimate Management,Crop Management,"Managing local conditions around crops such as temperature, sunlight, and moisture to create a more suitable environment for plant growth.","The farmer managed the temperature around the crop.;The plants were protected from excessive sunlight.;The growing conditions were adjusted for the crop.;The farmer controlled the local growing environment.","temperature|sunlight|water"
55,Residue Management,Post-Harvest Management,"Managing crop residues left after harvest through practices such as incorporation, composting, or suitable removal to maintain field and soil health.","The farmer managed the crop residues after harvest.;Plant residues were added to the soil.;Crop waste was converted into useful material.;The farmer cleared or reused the remaining crop material.","crops|compost|soil"
56,Produce Cleaning,Post-Harvest Management,"Removing soil, dirt, plant debris, and other unwanted material from harvested agricultural produce before storage, processing, or sale.","The harvested vegetables were cleaned.;Soil was removed from the produce.;The farmer cleaned the crop before selling it.;The harvested produce was washed and cleaned.","harvesting|water"
57,Produce Sorting,Post-Harvest Management,"Separating harvested agricultural produce according to characteristics such as size, quality, maturity, or visible damage.","The farmer sorted the harvested vegetables.;Damaged produce was separated.;The harvested crops were divided according to quality.;Good produce was separated from damaged produce.","harvesting|crops"
58,Produce Grading,Post-Harvest Management,"Classifying harvested agricultural produce into quality grades based on characteristics such as size, appearance, maturity, and quality.","The fruits were graded according to quality.;The farmer separated produce into different grades.;Higher-quality crops were placed in a separate group.;The harvested produce was classified by quality.","crops|harvesting"
59,Cold Storage,Post-Harvest Management,"Storing perishable agricultural products under low-temperature conditions to slow deterioration and extend their storage life.","The vegetables were kept in cold storage.;The farmer stored fruits at a low temperature.;Cold storage reduced spoilage.;The harvested produce was kept in a refrigerated storage facility.","crops|storage"
60,Value Addition,Post-Harvest Management,"Processing agricultural products into forms with greater value, such as processed, prepared, or packaged products, before selling them.","The farmer processed the crop before selling it.;Raw agricultural produce was converted into a processed product.;The farmer added value to the harvested crop.;The crop was processed for better market value.","crops|packaging"


61,Seed Selection,Seed Management,"Selecting healthy, mature, viable, and suitable seeds before planting to obtain good crop establishment and uniform growth.","The farmer selected healthy seeds before sowing.;Good quality seeds were chosen for planting.;The farmer checked the seeds before cultivation.;Healthy seeds were selected for the next crop.","seed|crops"
62,Seed Treatment,Seed Management,"Treating seeds before planting to protect them from seed-borne diseases and pests and to improve early crop establishment.","The farmer treated the seeds before planting.;Seeds were protected before sowing.;The farmer prepared the seeds before putting them in the soil.;Treated seeds were used for cultivation.","seed|pesticide|planting"
63,Nursery Raising,Plant Establishment,"Growing young seedlings in a prepared nursery area before transplanting them into the main field.","The farmer raised seedlings in a nursery.;Young plants were grown before moving them to the field.;The seedlings were prepared in a nursery.;Healthy seedlings were selected for field planting.","seed|planting|crops"
64,Seedling Preparation,Plant Establishment,"Preparing healthy young plants for transplantation by providing suitable growing conditions before they are moved to the main field.","The farmer prepared seedlings for transplantation.;Young plants were grown until they were ready for the field.;The seedlings were prepared before planting.;Healthy seedlings were selected for field cultivation.","seed|planting|crops"
65,Transplanting,Plant Establishment,"Moving young seedlings from a nursery or temporary growing area into the main agricultural field for continued growth.","The farmer transplanted the seedlings into the field.;Young plants were moved from the nursery to the field.;The seedlings were planted in rows.;The farmer transferred the seedlings to the main crop field.","planting|crops|soil"
66,Direct Seeding,Plant Establishment,"Placing seeds directly into the field where the crop will grow instead of raising seedlings in a separate nursery.","The farmer sowed seeds directly in the field.;The crop was established by direct seeding.;Seeds were placed directly into the soil.;The farmer planted the seeds without using a nursery.","seed|planting|soil"
67,Land Preparation,Land Management,"Preparing agricultural land before planting by improving soil condition and making the field suitable for crop establishment.","The farmer prepared the land before planting.;The field was prepared for the next crop.;The soil was prepared before sowing.;The farmer completed land preparation before cultivation.","soil|plough|planting"
68,Field Leveling,Land Management,"Leveling the agricultural field to create a more uniform surface that supports even water distribution and easier crop management.","The farmer leveled the field before planting.;The field surface was made even.;The land was leveled for better irrigation.;The farmer prepared an even field for cultivation.","soil|irrigation|water"
69,Bed Preparation,Land Management,"Preparing raised or shaped planting beds to provide suitable soil conditions, drainage, and spacing for crop establishment.","The farmer prepared beds for vegetable cultivation.;Raised beds were prepared before planting.;The soil was arranged into planting beds.;The farmer prepared the field into suitable beds.","soil|planting|crops"
70,Row Spacing Management,Crop Establishment,"Maintaining suitable distance between crop rows so plants receive adequate space, sunlight, water, and nutrients.","The farmer maintained proper spacing between rows.;The crop was planted with uniform row spacing.;The farmer left enough space between crop rows.;Rows were arranged at a suitable distance.","planting|crops"
71,Seed Placement,Plant Establishment,"Placing seeds at a suitable depth and position in the soil to support successful germination and crop establishment.","The farmer placed seeds at the correct depth.;Seeds were put into the soil before watering.;The farmer planted the seeds at suitable spacing.;The seeds were placed properly in the field.","seed|planting|soil"
72,Germination Monitoring,Crop Monitoring,"Observing newly planted seeds and seedlings to check whether germination is occurring properly and uniformly across the field.","The farmer checked whether the seeds had germinated.;The field was inspected after sowing.;The farmer monitored early seedling growth.;Poor germination was noticed in part of the field.","seed|crops|soil"
73,Plant Growth Monitoring,Crop Monitoring,"Regularly observing crop growth and development to identify problems and determine whether plants are growing normally.","The farmer regularly checked crop growth.;The plants were monitored during the growing season.;The farmer observed the condition of the crops.;Crop growth was checked throughout cultivation.","crops|soil|water"
74,Weeding,Crop Protection,"Removing unwanted plants that compete with crops for water, nutrients, sunlight, and space.","The farmer removed weeds from the field.;Unwanted plants were removed from around the crop.;The field was weeded during crop growth.;Weeds were controlled to protect the crop.","weed|crops"
75,Manual Weeding,Crop Protection,"Removing weeds by hand or with simple hand tools without relying on chemical herbicides.","The farmer removed weeds by hand.;Weeds were manually cleared from the field.;The farmer used hand tools to remove unwanted plants.;Manual weeding was performed between crop rows.","weed|crops"
76,Mechanical Weeding,Crop Protection,"Controlling weeds using agricultural tools or machinery instead of removing them manually or using chemical pesticides.","The farmer used machinery to remove weeds.;Weeds were controlled using farm equipment.;The field was mechanically weeded.;A machine was used to remove unwanted plants.","weed|machine|crops"
77,Mulch Application,Soil Management,"Applying a layer of organic or other suitable material over the soil surface to conserve moisture, suppress weeds, and protect the soil.","The farmer covered the soil with mulch.;Mulch was placed around the crops.;The soil was covered to conserve water.;The farmer used mulch to reduce weed growth.","mulching|soil|water"
78,Fertilizer Application,Crop Nutrition,"Applying fertilizers to agricultural land or crops to supply nutrients required for healthy plant growth and production.","The farmer applied fertilizer to the field.;Fertilizer was added during crop growth.;The crops received the required nutrients.;The farmer fertilized the field after planting.","fertilizer|crops"
79,Top Dressing,Crop Nutrition,"Applying fertilizer to an established crop during its growing period to provide additional nutrients when required.","The farmer applied fertilizer during crop growth.;Additional fertilizer was given to the growing crop.;The crop received nutrients after establishment.;The farmer added fertilizer during the growing season.","fertilizer|crops"
80,Basal Fertilizer Application,Crop Nutrition,"Applying fertilizer to the soil before or around the time of planting to provide nutrients during the early stages of crop growth.","The farmer applied fertilizer before planting.;Fertilizer was added to the soil before sowing.;The field received nutrients at planting time.;The farmer applied the initial fertilizer before crop establishment.","fertilizer|soil|planting"
81,Foliar Feeding,Crop Nutrition,"Applying dissolved nutrients directly to plant leaves so that crops can absorb nutrients through their foliage.","The farmer sprayed nutrients onto the leaves.;Nutrients were applied directly to the crop leaves.;The farmer used a nutrient spray on the plants.;The leaves received additional nutrients.","fertilizer|crops|water"
82,Pesticide Application,Crop Protection,"Applying pesticides to crops or agricultural areas to control harmful insects, pests, or other organisms that threaten crop production.","The farmer applied pesticide to control insects.;The crop was treated with pesticide.;Pesticide was applied after pest damage was observed.;The farmer sprayed the affected crop.","pesticide|insect|crops"
83,Pest Control Spraying,Crop Protection,"Spraying suitable pest-control substances on crops when harmful insect populations or damage require treatment.","The farmer sprayed the crop against insects.;Pest-control spray was applied to the field.;The farmer sprayed the plants after finding pests.;The crop was treated to reduce insect damage.","pesticide|insect|crops"
84,Pest Trapping,Crop Protection,"Using traps to detect, monitor, or reduce harmful insect populations in agricultural fields.","The farmer placed traps to monitor insects.;Insects were caught using field traps.;The farmer used traps to control pests.;Pest traps were placed around the crop.","insect|crops"
85,Disease Prevention,Crop Protection,"Using suitable crop management practices to reduce the likelihood of plant diseases developing or spreading through the field.","The farmer took steps to prevent crop disease.;Healthy plants were protected from infection.;The field was managed to reduce disease risk.;The farmer used preventive practices to protect the crop.","crops|pesticide"
86,Crop Protection,Crop Management,"Protecting growing crops from pests, weeds, diseases, unfavorable weather, and other factors that can reduce crop health and yield.","The farmer protected the crop from insects.;The crop was protected during the growing season.;Different methods were used to protect the plants.;The farmer managed threats to crop production.","crops|insect|weed|weather"
87,Irrigation Scheduling,Water Management,"Planning when and how much water should be supplied to crops according to crop requirements, soil conditions, weather, and available water.","The farmer scheduled irrigation according to crop needs.;The field was watered at planned times.;Irrigation was adjusted according to rainfall.;The farmer avoided unnecessary watering.","irrigation|water|weather"
88,Water Conservation,Water Management,"Using agricultural practices that reduce unnecessary water loss and improve the efficient use of available water for crop production.","The farmer conserved water during cultivation.;Water was used carefully because of limited supply.;The farmer reduced water wastage in the field.;Water-saving practices were used for the crops.","water|irrigation|soil"
89,Shade Management,Crop Management,"Managing the amount of sunlight reaching crops by providing, reducing, or adjusting shade according to crop requirements.","The farmer provided shade to protect the crop.;The plants were protected from excessive sunlight.;Shade was adjusted according to crop requirements.;The farmer reduced direct sunlight around the plants.","sunlight|crops|greenhouse"
90,Harvest Timing,Harvest Management,"Determining the appropriate time to harvest a crop based on maturity, quality, weather, and intended use.","The farmer harvested the crop at the right time.;The crop was collected after reaching maturity.;The farmer waited until the crop was ready for harvest.;Harvesting was planned according to crop maturity.","harvesting|crops|weather"

91,Harvest Maturity Assessment,Harvest Management,"Assessing whether a crop has reached the appropriate stage of maturity for harvesting based on its physical and biological characteristics.","The farmer checked whether the crop was ready for harvest.;The crop was inspected before harvesting.;The farmer assessed crop maturity before collecting it.;The produce was harvested after reaching the required maturity.","harvesting|crops"
92,Manual Harvesting,Harvest Management,"Collecting mature agricultural produce by hand or with simple hand tools when mechanical harvesting is unsuitable or unavailable.","The farmer harvested the crop by hand.;The fruits were collected manually.;Workers harvested the crop using hand tools.;The farmer manually collected the mature produce.","harvesting|crops"
93,Mechanical Harvesting,Harvest Management,"Using agricultural machinery to collect mature crops efficiently over larger cultivated areas.","The farmer used a machine to harvest the crop.;The crop was collected using harvesting equipment.;A machine was used to complete harvesting.;The farmer used mechanical harvesting for the field.","harvesting|harvester|machine"
94,Harvest Handling,Post-Harvest Management,"Handling harvested agricultural produce carefully to reduce physical damage and maintain its quality before further processing, storage, or transport.","The farmer handled the harvested crop carefully.;The produce was moved without damaging it.;Harvested crops were handled properly after collection.;The farmer protected the produce during handling.","harvesting|crops"
95,Harvest Collection,Harvest Management,"Gathering harvested agricultural produce from the field and bringing it together for further handling or processing.","The farmer collected the harvested crop.;The produce was gathered from the field.;The harvested crops were collected in one place.;The farmer gathered the produce after harvesting.","harvesting|crops"
96,Threshing Operation,Post-Harvest Processing,"Separating grains or seeds from harvested plant material such as stalks, husks, or pods after harvesting.","The farmer separated the grain from the harvested plants.;The crop was threshed after harvesting.;Grains were separated from the stalks.;The farmer used a thresher to separate the grain.","threshing|harvesting|crops"
97,Grain Cleaning,Post-Harvest Processing,"Removing unwanted materials such as dust, stones, chaff, and plant debris from harvested grain before storage or further processing.","The farmer cleaned the harvested grain.;Dust and debris were removed from the grain.;The grain was cleaned before storage.;The farmer separated unwanted material from the grain.","threshing|crops"
98,Grain Drying,Post-Harvest Management,"Reducing the moisture content of harvested grain to a suitable level before storage to reduce deterioration and spoilage.","The farmer dried the grain after harvesting.;The harvested grain was dried before storage.;The grain was exposed to suitable drying conditions.;The farmer reduced moisture in the harvested grain.","harvesting|sunlight|crops"
99,Sun Drying,Post-Harvest Management,"Using sunlight and suitable environmental conditions to reduce moisture in harvested agricultural produce before storage or further processing.","The farmer dried the crop under sunlight.;The harvested produce was spread in the sun.;The farmer used sunlight to dry the agricultural produce.;The crop was dried outdoors before storage.","sunlight|harvesting|crops"
100,Moisture Management,Post-Harvest Management,"Managing moisture levels in harvested agricultural products to maintain quality and reduce the risk of spoilage during handling and storage.","The farmer checked the moisture of the harvested crop.;Moisture was reduced before storing the grain.;The produce was kept at a suitable moisture level.;The farmer managed moisture to protect the harvested crop.","water|crops|storage"
101,Grain Storage,Post-Harvest Management,"Storing harvested grains under suitable conditions to protect them from moisture, pests, and deterioration over time.","The farmer stored the grain after drying it.;Harvested grain was kept safely for later use.;The farmer protected stored grain from damage.;The grain was placed in storage after harvest.","crops|insect"
102,Seed Storage,Seed Management,"Storing seeds under suitable conditions so that their quality and ability to germinate are maintained until the next planting season.","The farmer stored seeds for the next season.;Seeds were kept safely after harvest.;The farmer protected stored seeds from moisture and pests.;Seeds were preserved for future planting.","seed|crops|insect"
103,Grain Pest Protection,Post-Harvest Management,"Protecting stored grain from insects and other pests that can damage or contaminate agricultural produce.","The farmer protected stored grain from insects.;Pests were controlled in the grain storage area.;The stored crop was inspected for insects.;The farmer prevented insect damage to stored grain.","crops|insect|pesticide"
104,Post-Harvest Loss Reduction,Post-Harvest Management,"Using suitable harvesting, handling, drying, storage, and transport practices to reduce the quantity and quality losses that occur after harvest.","The farmer reduced losses after harvesting.;Careful handling helped protect the crop.;The farmer used better storage to reduce spoilage.;Post-harvest practices helped preserve the produce.","harvesting|crops|water"
105,Produce Packaging,Post-Harvest Management,"Packing agricultural products in suitable containers or materials to protect them during storage, handling, transportation, and sale.","The farmer packed the harvested vegetables.;The produce was placed into suitable packages.;The crop was packed before transport.;The farmer prepared the produce for the market.","crops|harvesting"
106,Produce Transportation,Post-Harvest Management,"Moving harvested agricultural products from the field or storage area to another location such as a market, processing facility, or storage center.","The farmer transported the harvested crop to the market.;The produce was moved after harvesting.;The farmer arranged transportation for the crops.;Harvested vegetables were transported for sale.","harvesting|crops|farm"
107,Market Preparation,Marketing,"Preparing agricultural produce for sale by cleaning, sorting, grading, packaging, and organizing it according to market requirements.","The farmer prepared the crop for the market.;The produce was cleaned and sorted before selling.;The farmer prepared the harvested vegetables for buyers.;The crop was made ready for sale.","crops|harvesting"
108,Produce Selling,Marketing,"Selling harvested agricultural products to consumers, traders, markets, or other buyers.","The farmer sold the harvested crop.;The produce was taken to the market for sale.;The farmer sold vegetables to a buyer.;The harvested crop was sold after grading.","crops|harvesting"
109,Crop Price Assessment,Marketing,"Assessing the expected or current market price of agricultural produce before deciding when, where, or to whom to sell it.","The farmer checked the crop price before selling.;The market price was considered before selling the harvest.;The farmer compared prices offered by buyers.;The expected price influenced the selling decision.","crops|harvesting"
